frame,avg evo,population
25000,0.18,114,48.31%
25100,0.12000000000000001,443
25100,0.12,111,25.06%
25100,0.13,127,28.67%
25200,0.12000000000000001,299
25200,0.13,78,26.09%
25200,0.11,64,21.40%
25200,0.12,73,24.41%
25300,0.09666666666666668,158
25300,0.1,53,33.54%
25300,0.05,36,22.78%
25400,0.12000000000000001,141
25400,0.13,61,43.26%
25400,0.12,48,34.04%
25500,0.13166666666666665,184
25500,0.13,98,53.26%
25500,0.12,39,21.20%
25600,0.05,535
25600,0.23,110,20.56%
25600,0.05,327,61.12%
25700,0.05,1639
25700,0.23,567,34.59%
25700,0.05,1059,64.61%
25800,0.05,1263
25800,0.05,779,61.68%
25800,0.23,482,38.16%
25900,0.05,635
25900,0.23,270,42.52%
25900,0.05,363,57.17%
26000,0.05,42
26000,0.05,26,61.90%
26000,0.23,15,35.71%
26100,0.15957729999687592,185
26100,0.23,54,29.19%
26100,0.16,104,56.22%
26200,0.15957729999687592,39
26200,0.23,10,25.64%
26200,0.16,23,58.97%
26300,0.15957729999687592,45
26300,0.16,27,60.00%
26300,0.23,10,22.22%
26400,0.15957729999687592,65
26400,0.23,23,35.38%
26400,0.16,39,60.00%
26500,0.15957729999687592,67
26500,0.23,27,40.30%
26500,0.16,39,58.21%
26600,0.09105505390883606,357
26600,0.23,116,32.49%
26600,0.09,235,65.83%
26700,0.09105505390883606,849
26700,0.23,350,41.22%
26700,0.09,492,57.95%
26800,0.09105505390883606,38
26800,0.23,14,36.84%
26800,0.09,23,60.53%
26900,0.09105505390883606,46
26900,0.31,16,34.78%
26900,0.09,27,58.70%
27000,0.09105505390883606,43
27000,0.09,28,65.12%
27000,0.31,15,34.88%
27100,0.22161155729493132,287
27100,0.33,83,28.92%
27100,0.22,149,51.92%
27200,0.22161155729493132,135
27200,0.22,77,57.04%
27200,0.33,51,37.78%
27300,0.2737317276892336,32
27300,0.22,15,46.88%
27300,0.33,16,50.00%
27400,0.22161155729493132,121
27400,0.22,74,61.16%
27400,0.17,30,24.79%
27500,0.22161155729493132,97
27500,0.22,42,43.30%
27500,0.34,39,40.21%
27600,0.07520941561558728,109
27600,0.08,72,66.06%
27700,0.07520941561558728,98
27700,0.08,68,69.39%
27700,0.34,25,25.51%
27800,0.07520941561558728,104
27800,0.34,44,42.31%
27800,0.08,59,56.73%
27900,0.07520941561558728,49
27900,0.34,17,34.69%
27900,0.08,31,63.27%
28000,0.07520941561558728,71
28000,0.08,38,53.52%
28000,0.34,26,36.62%
28100,0.12018701927384007,283
28100,0.34,62,21.91%
28100,0.38,58,20.49%
28100,0.12,163,57.60%
28200,0.12018701927384007,30
28200,0.12,18,60.00%
28300,0.12018701927384007,276
28300,0.12,172,62.32%
28300,0.34,80,28.99%
28400,0.12018701927384007,116
28400,0.34,34,29.31%
28400,0.12,80,68.97%
28500,0.12018701927384007,103
28500,0.34,34,33.01%
28500,0.12,68,66.02%
28600,0.052691176845417284,744
28600,0.34,193,25.94%
28600,0.05,550,73.92%
28700,0.052691176845417284,509
28700,0.05,351,68.96%
28700,0.34,149,29.27%
28800,0.052691176845417284,260
28800,0.05,165,63.46%
28800,0.08,63,24.23%
28900,0.052691176845417284,199
28900,0.05,113,56.78%
28900,0.08,85,42.71%
29000,0.052691176845417284,115
29000,0.08,49,42.61%
29000,0.05,65,56.52%
29100,0.08080202056529463,457
29100,0.09,103,22.54%
29100,0.08,238,52.08%
29100,0.05,116,25.38%
29200,0.08080202056529463,140
29200,0.09,65,46.43%
29200,0.08,32,22.86%
29200,0.05,43,30.71%
29300,0.08080202056529463,228
29300,0.08,119,52.19%
29300,0.09,100,43.86%
29400,0.08080202056529463,275
29400,0.09,132,48.00%
29400,0.08,133,48.36%
29500,0.08080202056529463,154
29500,0.08,69,44.81%
29500,0.09,75,48.70%
29600,0.054510854138098946,1180
29600,0.19,491,41.61%
29600,0.05,687,58.22%
29700,0.19156028263325842,2405
29700,0.05,1193,49.60%
29700,0.19,1210,50.31%
29800,0.19156028263325842,4394
29800,0.19,2287,52.05%
29800,0.05,2106,47.93%
29900,0.054510854138098946,7114
29900,0.19,3521,49.49%
29900,0.05,3592,50.49%
30000,0.054510854138098946,5798
30000,0.05,3204,55.26%
30000,0.19,2593,44.72%
30100,0.19156028263325842,812
30100,0.19,714,87.93%
30200,0.19156028263325842,650
30200,0.28,199,30.62%
30200,0.19,410,63.08%
30300,0.19156028263325842,109
30300,0.19,78,71.56%
30300,0.28,24,22.02%
30400,0.19156028263325842,147
30400,0.19,93,63.27%
30400,0.23,35,23.81%
30500,0.19156028263325842,156
30500,0.23,54,34.62%
30500,0.19,93,59.62%
30600,0.19156028263325842,138
30600,0.23,40,28.99%
30600,0.19,97,70.29%
30700,0.19156028263325842,194
30700,0.19,103,53.09%
30700,0.23,90,46.39%
30800,0.19156028263325842,175
30800,0.19,97,55.43%
30800,0.23,77,44.00%
30900,0.19156028263325842,124
30900,0.23,33,26.61%
30900,0.19,88,70.97%
31000,0.19156028263325842,165
31000,0.19,90,54.55%
31000,0.23,71,43.03%
31100,0.19156028263325842,139
31100,0.19,81,58.27%
31100,0.23,56,40.29%
31200,0.19156028263325842,120
31200,0.23,45,37.50%
31200,0.19,74,61.67%
31300,0.19156028263325842,149
31300,0.19,86,57.72%
31300,0.23,62,41.61%
31400,0.19156028263325842,129
31400,0.19,64,49.61%
31400,0.23,64,49.61%
31500,0.19156028263325842,181
31500,0.23,80,44.20%
31500,0.19,100,55.25%
31600,0.19156028263325842,140
31600,0.23,65,46.43%
31600,0.19,74,52.86%
31700,0.22607914153110908,154
31700,0.23,82,53.25%
31700,0.19,71,46.10%
31800,0.19156028263325842,130
31800,0.23,58,44.62%
31800,0.19,71,54.62%
31900,0.19156028263325842,142
31900,0.23,68,47.89%
31900,0.19,73,51.41%
32000,0.19156028263325842,139
32000,0.23,64,46.04%
32000,0.19,74,53.24%
32100,0.19156028263325842,99
32100,0.19,57,57.58%
32100,0.23,41,41.41%
32200,0.19156028263325842,150
32200,0.23,66,44.00%
32200,0.19,80,53.33%
32300,0.19156028263325842,150
32300,0.19,83,55.33%
32300,0.23,66,44.00%
32400,0.19156028263325842,165
32400,0.19,85,51.52%
32400,0.23,80,48.48%
32500,0.19156028263325842,166
32500,0.23,75,45.18%
32500,0.19,90,54.22%
32600,0.19156028263325842,158
32600,0.19,84,53.16%
32600,0.23,73,46.20%
32700,0.19156028263325842,154
32700,0.23,72,46.75%
32700,0.19,81,52.60%
32800,0.19156028263325842,153
32800,0.23,71,46.41%
32800,0.19,81,52.94%
32900,0.19156028263325842,150
32900,0.23,68,45.33%
32900,0.19,78,52.00%
33000,0.19156028263325842,145
33000,0.19,77,53.10%
33000,0.23,67,46.21%
33100,0.19156028263325842,149
33100,0.19,83,55.70%
33100,0.23,64,42.95%
33200,0.19156028263325842,134
33200,0.23,63,47.01%
33200,0.19,70,52.24%
33300,0.19156028263325842,104
33300,0.23,47,45.19%
33300,0.19,56,53.85%
33400,0.19156028263325842,132
33400,0.19,68,51.52%
33400,0.23,62,46.97%
33500,0.19156028263325842,179
33500,0.23,84,46.93%
33500,0.19,94,52.51%
33600,0.09666666666666668,594
33600,0.1,314,52.86%
33600,0.11,178,29.97%
33700,0.06166666666666667,190
