enviorment change rate,planned master run,master run,apex evolution rate,fitness,max species,fit sigma left,fit sigma right,fit r2
1.19,859,859,0.114,4001.0,181.0,0.026052460029630582,0.08061099463924323,-17.176900736377906
1.2,860,860,0.077,4001.0,181.0,0.010617933790701296,0.0928791257791893,-14.541983042659538
1.21,861,861,0.068,2704.0,172.0,0.008055094326518896,0.10031496933317564,-6.942435435021917
1.22,862,862,0.099,3447.0,184.0,0.018953457282049856,0.08832850904357116,-17.463677231751916
1.23,863,863,0.081,4001.0,182.0,0.012002568284171782,0.09134966752064841,-18.2616284100462
1.24,864,864,0.092,2707.0,180.0,0.01757936236116768,0.09337494212735607,-12.907810048981805
1.25,865,865,0.199,2432.5,179.0,0.05611872942866093,0.07063803992569093,-8.540768110338995
1.26,866,866,0.099,4001.0,176.0,0.019676630741570937,0.08679160537824095,-11.322831705160015
1.27,867,867,0.091,2797.0,174.0,0.017351990142419935,0.09268246442581256,-11.680492493797829
1.28,868,868,0.065,4001.0,179.0,0.007012091277968276,0.10164272411389287,-9.749194206599036
1.29,869,869,0.085,2320.269230769231,173.0,0.016425080948896713,0.09791058163574881,-5.626565616463581
1.3,870,870,0.053,2081.6666666666665,176.0,0.0018801972511839143,0.10892086050145731,-3.941592103884581
1.31,871,871,0.063,3663.0,173.0,0.005804733245927025,0.09749840862399013,-13.529046174562733
1.32,872,872,0.136,2068.0,176.0,0.03787470431613521,0.08285001719317026,-8.795440222846993
1.33,873,873,0.051,3313.0,180.0,0.00098014647199011,0.10257113578404238,-12.70840166130913
1.34,874,874,0.098,2993.0,179.0,0.019568463737653006,0.0892733980794872,-12.106631091015528
1.35,875,875,0.088,3369.5,174.0,0.01530147378683587,0.09193392461451155,-11.48497870722294
1.36,876,876,0.1,2252.5,174.0,0.02117833366384921,0.09320586292801843,-5.807694300724791
1.37,877,877,0.05,2061.5384615384614,175.0,0.11017778119639264,0.11017778119639264,-5.663544043650146
1.38,878,878,0.078,2931.0,176.0,0.011693254709017584,0.09540070192588054,-8.860015259022958
1.39,879,879,0.109,3040.0,135.0,0.02400966460751665,0.08647149188061805,-13.274814358496391
1.39,879,879,0.109,3040.0,174.0,0.02456899156320953,0.08584006427228356,-14.392332347981643
1.4,880,880,0.062,2347.409090909091,176.0,0.0061065544216782515,0.10403623391511142,-8.191735033961384
1.41,881,881,0.061,2409.0,177.0,0.0053387614300056205,0.10512225613236571,-6.834678845053712
