frame,avg evo,population
19300,0.19,24,36.36%
19300,0.12,38,57.58%
19400,0.11598119250149085,120
19400,0.19,51,42.50%
19400,0.12,66,55.00%
19500,0.11598119250149085,96
19500,0.12,56,58.33%
19500,0.19,39,40.62%
19600,0.18740708564328368,155
19600,0.19,78,50.32%
19600,0.08,76,49.03%
19700,0.08447499862269064,103
19700,0.19,43,41.75%
19700,0.08,57,55.34%
19800,0.08447499862269064,35
19800,0.08,22,62.86%
19800,0.11,10,28.57%
19900,0.08447499862269064,118
19900,0.11,58,49.15%
19900,0.08,60,50.85%
20000,0.08447499862269064,150
20000,0.08,76,50.67%
20000,0.11,73,48.67%
20100,0.10604777315678501,35
20100,0.11,27,77.14%
20200,0.10604777315678501,96
20200,0.11,86,89.58%
20300,0.10604777315678501,69
20300,0.11,64,92.75%
20400,0.10604777315678501,106
20400,0.11,78,73.58%
20400,0.17,27,25.47%
20500,0.10604777315678501,115
20500,0.17,49,42.61%
20500,0.11,59,51.30%
20600,0.1721239080749185,238
20600,0.25,79,33.19%
20600,0.17,158,66.39%
20700,0.1721239080749185,204
20700,0.25,67,32.84%
20700,0.17,135,66.18%
20800,0.1721239080749185,111
20800,0.17,78,70.27%
20800,0.19,26,23.42%
20900,0.1721239080749185,139
20900,0.17,69,49.64%
20900,0.19,69,49.64%
21000,0.1721239080749185,141
21000,0.19,70,49.65%
21000,0.17,66,46.81%
21100,0.1721239080749185,114
21100,0.17,65,57.02%
21100,0.19,49,42.98%
21200,0.1798205305713865,132
21200,0.17,64,48.48%
21200,0.19,66,50.00%
21300,0.1721239080749185,119
21300,0.17,62,52.10%
21300,0.19,56,47.06%
21400,0.1721239080749185,106
21400,0.17,56,52.83%
21400,0.19,49,46.23%
21500,0.1721239080749185,118
21500,0.19,56,47.46%
21500,0.17,61,51.69%
21600,0.1721239080749185,120
21600,0.17,75,62.50%
21600,0.19,43,35.83%
21700,0.1875171530678545,114
21700,0.17,56,49.12%
21700,0.19,57,50.00%
21800,0.1721239080749185,111
21800,0.17,59,53.15%
21800,0.19,51,45.95%
21900,0.1875171530678545,100
21900,0.17,49,49.00%
21900,0.19,50,50.00%
22000,0.1721239080749185,84
22000,0.17,44,52.38%
22000,0.19,39,46.43%
22100,0.1875171530678545,57
22100,0.19,29,50.88%
22100,0.17,27,47.37%
22200,0.1721239080749185,108
22200,0.17,55,50.93%
22200,0.19,52,48.15%
22300,0.1721239080749185,83
22300,0.17,42,50.60%
22300,0.19,40,48.19%
22400,0.1798205305713865,86
22400,0.19,42,48.84%
22400,0.17,43,50.00%
22500,0.1721239080749185,89
22500,0.17,52,58.43%
22500,0.19,36,40.45%
22600,0.1721239080749185,167
22600,0.19,78,46.71%
22600,0.17,87,52.10%
22700,0.1721239080749185,112
22700,0.19,53,47.32%
22700,0.17,58,51.79%
22800,0.1875171530678545,115
22800,0.19,59,51.30%
22800,0.17,55,47.83%
22900,0.1721239080749185,81
22900,0.19,39,48.15%
22900,0.17,41,50.62%
23000,0.1875171530678545,36
23000,0.19,33,91.67%
23100,0.1875171530678545,35
23100,0.07,15,42.86%
23100,0.19,19,54.29%
23200,0.1875171530678545,15
23200,0.19,6,40.00%
23200,0.07,7,46.67%
23300,0.08670851215926222,49
23300,0.07,24,48.98%
23300,0.19,24,48.98%
23400,0.1875171530678545,52
23400,0.19,28,53.85%
23400,0.07,22,42.31%
23500,0.1875171530678545,36
23500,0.07,10,27.78%
23500,0.19,26,72.22%
23600,0.1875171530678545,88
23600,0.19,50,56.82%
23600,0.37,33,37.50%
23700,0.1875171530678545,22
23700,0.37,5,22.73%
23700,0.19,11,50.00%
23700,0.13,6,27.27%
23800,0.12575184482760215,37
23800,0.19,16,43.24%
23800,0.13,18,48.65%
23900,0.12575184482760215,217
23900,0.09,44,20.28%
23900,0.13,136,62.67%
24000,0.08856073659668572,119
24000,0.13,45,37.82%
24000,0.09,68,57.14%
24100,0.1875171530678545,101
24100,0.09,33,32.67%
24100,0.19,60,59.41%
24200,0.09332163330560428,493
24200,0.19,190,38.54%
24200,0.09,291,59.03%
24300,0.09332163330560428,1050
24300,0.19,453,43.14%
24300,0.09,569,54.19%
24400,0.09332163330560428,1462
24400,0.09,868,59.37%
24400,0.19,549,37.55%
24500,0.09332163330560428,1283
24500,0.09,790,61.57%
24500,0.19,482,37.57%
24600,0.1875171530678545,397
24600,0.19,267,67.25%
24600,0.1,127,31.99%
24700,0.13166666666666665,149
24800,0.09666666666666668,242
24800,0.07,92,38.02%
24800,0.1,87,35.95%
24900,0.09666666666666668,110
24900,0.1,54,49.09%
24900,0.07,36,32.73%
25000,0.09666666666666668,14
25000,0.07,6,42.86%
25000,0.1,5,35.71%
25100,0.10100997540361498,43
25100,0.07,16,37.21%
25100,0.1,25,58.14%
25200,0.10100997540361498,143
25200,0.07,67,46.85%
25200,0.1,75,52.45%
25300,0.10100997540361498,412
25300,0.06,117,28.40%
25300,0.1,229,55.58%
25400,0.06783063886384111,175
25400,0.1,84,48.00%
25400,0.06,86,49.14%
25500,0.05905737695414385,986
25500,0.1,470,47.67%
25500,0.06,511,51.83%
25600,0.10100997540361498,98
25600,0.38,29,29.59%
25600,0.1,66,67.35%
25700,0.10100997540361498,63
25700,0.38,18,28.57%
25700,0.1,42,66.67%
25800,0.10100997540361498,78
25800,0.1,47,60.26%
25800,0.38,20,25.64%
25900,0.10100997540361498,68
25900,0.1,43,63.24%
25900,0.28,24,35.29%
26000,0.10100997540361498,22
26000,0.1,13,59.09%
26000,0.28,8,36.36%
26100,0.25304943041849093,51
26100,0.35,16,31.37%
26100,0.25,15,29.41%
26100,0.1,18,35.29%
26200,0.24668507088753866,57
26200,0.25,25,43.86%
26200,0.1,25,43.86%
26300,0.24668507088753866,276
26300,0.1,115,41.67%
26300,0.25,161,58.33%
26400,0.24668507088753866,269
26400,0.25,171,63.57%
26400,0.1,97,36.06%
26500,0.1098024137386895,103
26500,0.25,31,30.10%
26500,0.11,65,63.11%
26600,0.24668507088753866,89
26600,0.07,42,47.19%
26600,0.25,45,50.56%
26700,0.32337310456187013,31
26700,0.4,9,29.03%
26700,0.07,12,38.71%
26800,0.06515899739769351,119
26800,0.4,45,37.82%
26800,0.07,69,57.98%
26900,0.3990959021291243,15
26900,0.07,6,40.00%
26900,0.4,8,53.33%
27000,0.14362123331026494,43
27000,0.14,23,53.49%
27000,0.07,19,44.19%
27100,0.06515899739769351,99
27100,0.07,72,72.73%
27200,0.14842577734195428,18
27200,0.23,6,33.33%
27200,0.07,9,50.00%
27300,0.23169255728621507,53
27300,0.23,29,54.72%
27300,0.07,23,43.40%
27400,0.06515899739769351,10
27400,0.07,8,80.00%
27500,0.07716030694285365,23
27500,0.13,11,47.83%
27500,0.07,11,47.83%
27600,0.21877150007721152,91
27600,0.24,43,47.25%
27600,0.22,46,50.55%
27700,0.21877150007721152,212
27700,0.22,100,47.17%
27700,0.24,95,44.81%
27800,0.21877150007721152,127
27800,0.22,59,46.46%
27800,0.24,59,46.46%
27900,0.21877150007721152,62
27900,0.24,21,33.87%
27900,0.22,29,46.77%
28000,0.18668971726376232,87
28000,0.19,45,51.72%
28000,0.22,31,35.63%
28100,0.21877150007721152,56
28100,0.22,29,51.79%
28100,0.19,26,46.43%
28200,0.21877150007721152,14
28200,0.22,10,71.43%
28300,0.21877150007721152,7
28300,0.21,2,28.57%
28300,0.22,4,57.14%
28400,0.11206007181612027,53
28400,0.22,24,45.28%
28400,0.11,28,52.83%
28500,0.21877150007721152,13
28500,0.06,3,23.08%
28500,0.22,8,61.54%
28600,0.1264131489083406,28
28600,0.1,7,25.00%
28600,0.13,15,53.57%
28700,0.09502687793616696,29
28700,0.14,6,20.69%
28700,0.1,18,62.07%
28800,0.1264131489083406,20
28800,0.1,8,40.00%
28800,0.13,10,50.00%
28900,0.09502687793616696,381
28900,0.1,197,51.71%
28900,0.13,180,47.24%
29000,0.09502687793616696,407
29000,0.13,132,32.43%
29000,0.1,273,67.08%
29100,0.13735725373034519,63
29100,0.13,21,33.33%
29100,0.14,39,61.90%
29200,0.13735725373034519,28
29200,0.14,15,53.57%
29200,0.13,11,39.29%
29300,0.13735725373034519,54
29300,0.14,25,46.30%
29300,0.28,19,35.19%
29400,0.13735725373034519,60
29400,0.14,26,43.33%
29400,0.13,24,40.00%
29500,0.13735725373034519,538
29500,0.13,263,48.88%
29500,0.14,272,50.56%
29600,0.1264131489083406,74
29600,0.13,60,81.08%
29700,0.1264131489083406,252
29700,0.25,59,23.41%
29700,0.13,186,73.81%
29800,0.1264131489083406,96
29800,0.13,64,66.67%
29800,0.25,26,27.08%
29900,0.1264131489083406,61
29900,0.25,21,34.43%
29900,0.13,39,63.93%
30000,0.1264131489083406,65
30000,0.25,17,26.15%
30000,0.13,47,72.31%
30100,0.18492507740184833,97
30100,0.12,30,30.93%
30100,0.18,58,59.79%
30200,0.10671130455687317,902
30200,0.11,469,52.00%
30200,0.18,382,42.35%
30300,0.10671130455687317,470
30300,0.11,252,53.62%
30300,0.18,202,42.98%
30400,0.10671130455687317,317
30400,0.18,154,48.58%
30400,0.11,161,50.79%
30500,0.32345076161975933,5
30500,0.32,2,40.00%
30600,0.077380343155984,31
30600,0.08,16,51.61%
30600,0.2,14,45.16%
30700,0.077380343155984,158
30700,0.2,72,45.57%
30700,0.08,83,52.53%
30800,0.077380343155984,11
30800,0.08,4,36.36%
30900,0.077380343155984,46
30900,0.05,15,32.61%
30900,0.08,30,65.22%
31000,0.05213102712269262,25
31000,0.08,10,40.00%
31000,0.05,14,56.00%
31100,0.077380343155984,41
31100,0.08,38,92.68%
31200,0.077380343155984,44
31200,0.08,41,93.18%
31300,0.077380343155984,27
31300,0.08,20,74.07%
31300,0.2,6,22.22%
31400,0.077380343155984,17
31400,0.2,4,23.53%
31400,0.08,12,70.59%
31500,0.077380343155984,82
31500,0.08,63,76.83%
31600,0.20044030135337515,69
31600,0.2,32,46.38%
31600,0.07,34,49.28%
31700,0.20044030135337515,22
31700,0.2,12,54.55%
31700,0.07,9,40.91%
31800,0.07451630928735048,89
31800,0.2,19,21.35%
31800,0.07,62,69.66%
31900,0.07451630928735048,20
31900,0.07,16,80.00%
32000,0.07451630928735048,47
32000,0.07,41,87.23%
32100,0.11011555335596798,113
32100,0.24,33,29.20%
32100,0.11,64,56.64%
32200,0.11011555335596798,31
32200,0.11,17,54.84%
32200,0.24,13,41.94%
32300,0.09012604716667486,155
32300,0.11,76,49.03%
32300,0.09,78,50.32%
32400,0.09012604716667486,19
32400,0.24,5,26.32%
32400,0.09,14,73.68%
32500,0.09012604716667486,76
32500,0.24,30,39.47%
32500,0.09,46,60.53%
32600,0.07387382062093381,214
32600,0.07,113,52.80%
32600,0.24,96,44.86%
32700,0.24007607196466874,365
32700,0.07,174,47.67%
32700,0.24,185,50.68%
32800,0.24007607196466874,27
32800,0.24,17,62.96%
32800,0.07,8,29.63%
32900,0.07387382062093381,183
32900,0.07,100,54.64%
32900,0.24,65,35.52%
33000,0.10593927091794453,24
33000,0.07,11,45.83%
33000,0.11,8,33.33%
33000,0.24,5,20.83%
33100,0.11433720611026141,695
33100,0.11,357,51.37%
33100,0.12,336,48.35%
33200,0.11433720611026141,1836
33200,0.11,933,50.82%
33200,0.12,902,49.13%
33300,0.11433720611026141,1067
33300,0.11,534,50.05%
33300,0.12,532,49.86%
33400,0.11433720611026141,779
33400,0.12,365,46.85%
33400,0.11,414,53.15%
33500,0.11433720611026141,724
33500,0.11,380,52.49%
33500,0.12,343,47.38%
33600,0.12658222223424279,43
33600,0.13,34,79.07%
33700,0.12658222223424279,71
33700,0.13,37,52.11%
33700,0.07,29,40.85%
33800,0.12658222223424279,82
33800,0.07,21,25.61%
33800,0.13,50,60.98%
33900,0.12658222223424279,79
33900,0.15,28,35.44%
33900,0.13,44,55.70%
34000,0.12658222223424279,94
34000,0.13,62,65.96%
34000,0.15,31,32.98%
34100,0.056934273950926345,197
