enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
1.13,1055,0.181,4001.0,0.045557872762897335,0.06648021029375766,-12.238909082572505,y=4001*exp(-((x-0.181)^2)/(2*0.0455579^2)) for x<=0.181; y=4001*exp(-((x-0.181)^2)/(2*0.0664802^2)) for x>0.181
1.14,1056,0.173,4001.0,0.04732693680088604,0.07006817769316684,-12.886834672025511,y=4001*exp(-((x-0.173)^2)/(2*0.0473269^2)) for x<=0.173; y=4001*exp(-((x-0.173)^2)/(2*0.0700682^2)) for x>0.173
1.15,1057,0.197,4001.0,0.051497832989304146,0.061745389097037216,-19.432683472047238,y=4001*exp(-((x-0.197)^2)/(2*0.0514978^2)) for x<=0.197; y=4001*exp(-((x-0.197)^2)/(2*0.0617454^2)) for x>0.197
1.16,1058,0.306,2527.0,0.09721500728524855,0.03057703465701549,-9.33109953187032,y=2527*exp(-((x-0.306)^2)/(2*0.097215^2)) for x<=0.306; y=2527*exp(-((x-0.306)^2)/(2*0.030577^2)) for x>0.306
1.17,1059,0.178,4001.0,0.0450900509089258,0.06950394457219533,-10.875471665560623,y=4001*exp(-((x-0.178)^2)/(2*0.0450901^2)) for x<=0.178; y=4001*exp(-((x-0.178)^2)/(2*0.0695039^2)) for x>0.178
1.18,1060,0.169,3130.0,0.0428928937625735,0.07428519624046004,-8.83599658291372,y=3130*exp(-((x-0.169)^2)/(2*0.0428929^2)) for x<=0.169; y=3130*exp(-((x-0.169)^2)/(2*0.0742852^2)) for x>0.169
1.19,1061,0.209,2878.0,0.058231909147198765,0.06221781600692655,-8.967168132505895,y=2878*exp(-((x-0.209)^2)/(2*0.0582319^2)) for x<=0.209; y=2878*exp(-((x-0.209)^2)/(2*0.0622178^2)) for x>0.209
1.2,1062,0.155,2919.0,0.03940610823866081,0.07730294849597029,-9.29152614895299,y=2919*exp(-((x-0.155)^2)/(2*0.0394061^2)) for x<=0.155; y=2919*exp(-((x-0.155)^2)/(2*0.0773029^2)) for x>0.155
1.21,1063,0.222,2358.0,0.06500242027756707,0.06159154427459478,-6.6433217623255185,y=2358*exp(-((x-0.222)^2)/(2*0.0650024^2)) for x<=0.222; y=2358*exp(-((x-0.222)^2)/(2*0.0615915^2)) for x>0.222
1.22,1064,0.166,3241.0,0.04436901588938575,0.07605323307547926,-8.383130887031538,y=3241*exp(-((x-0.166)^2)/(2*0.044369^2)) for x<=0.166; y=3241*exp(-((x-0.166)^2)/(2*0.0760532^2)) for x>0.166
1.23,1065,0.179,4001.0,0.044981270574677525,0.06777454459711427,-8.81215398495317,y=4001*exp(-((x-0.179)^2)/(2*0.0449813^2)) for x<=0.179; y=4001*exp(-((x-0.179)^2)/(2*0.0677745^2)) for x>0.179
1.24,1066,0.216,4001.0,0.058060175771340636,0.058471075622956524,-15.538539481244602,y=4001*exp(-((x-0.216)^2)/(2*0.0580602^2)) for x<=0.216; y=4001*exp(-((x-0.216)^2)/(2*0.0584711^2)) for x>0.216
1.25,1067,0.166,3949.0,0.04112203469583924,0.07403691470208433,-11.918155505461506,y=3949*exp(-((x-0.166)^2)/(2*0.041122^2)) for x<=0.166; y=3949*exp(-((x-0.166)^2)/(2*0.0740369^2)) for x>0.166
1.26,1068,0.221,4001.0,0.05921915948317968,0.05457424820190093,-15.126450606164475,y=4001*exp(-((x-0.221)^2)/(2*0.0592192^2)) for x<=0.221; y=4001*exp(-((x-0.221)^2)/(2*0.0545742^2)) for x>0.221
1.27,1069,0.194,4001.0,0.05020548742795403,0.06470465049079564,-14.544229715521656,y=4001*exp(-((x-0.194)^2)/(2*0.0502055^2)) for x<=0.194; y=4001*exp(-((x-0.194)^2)/(2*0.0647047^2)) for x>0.194
1.28,1070,0.167,3909.0,0.040243126250179916,0.07376406840425086,-12.773910099954053,y=3909*exp(-((x-0.167)^2)/(2*0.0402431^2)) for x<=0.167; y=3909*exp(-((x-0.167)^2)/(2*0.0737641^2)) for x>0.167
1.29,1071,0.164,3744.0,0.041492337530072664,0.07367241564991482,-9.356292509119843,y=3744*exp(-((x-0.164)^2)/(2*0.0414923^2)) for x<=0.164; y=3744*exp(-((x-0.164)^2)/(2*0.0736724^2)) for x>0.164
1.3,1072,0.301,2096.0,0.0966807300910832,0.03272201493773593,-6.659837508296672,y=2096*exp(-((x-0.301)^2)/(2*0.0966807^2)) for x<=0.301; y=2096*exp(-((x-0.301)^2)/(2*0.032722^2)) for x>0.301
1.31,1073,0.166,4001.0,0.041804185507726,0.07345319781431027,-17.19215953507438,y=4001*exp(-((x-0.166)^2)/(2*0.0418042^2)) for x<=0.166; y=4001*exp(-((x-0.166)^2)/(2*0.0734532^2)) for x>0.166
1.32,1074,0.254,4001.0,0.06984866988214535,0.04579302178263375,-14.707664801128665,y=4001*exp(-((x-0.254)^2)/(2*0.0698487^2)) for x<=0.254; y=4001*exp(-((x-0.254)^2)/(2*0.045793^2)) for x>0.254
1.33,1075,0.243,3623.0,0.06921670349822819,0.05096049683700168,-5.778378423541421,y=3623*exp(-((x-0.243)^2)/(2*0.0692167^2)) for x<=0.243; y=3623*exp(-((x-0.243)^2)/(2*0.0509605^2)) for x>0.243
1.34,1076,0.165,4001.0,0.041900442771203125,0.07271237613995919,-13.410178086940457,y=4001*exp(-((x-0.165)^2)/(2*0.0419004^2)) for x<=0.165; y=4001*exp(-((x-0.165)^2)/(2*0.0727124^2)) for x>0.165
1.35,1077,0.245,4001.0,0.06893532720777937,0.050612481346871394,-8.892934973579639,y=4001*exp(-((x-0.245)^2)/(2*0.0689353^2)) for x<=0.245; y=4001*exp(-((x-0.245)^2)/(2*0.0506125^2)) for x>0.245
1.36,1078,0.26,2778.0,0.0782923021657276,0.046561438074787805,-7.680892440651666,y=2778*exp(-((x-0.26)^2)/(2*0.0782923^2)) for x<=0.26; y=2778*exp(-((x-0.26)^2)/(2*0.0465614^2)) for x>0.26
1.37,1079,0.209,2482.0,0.06198091483426639,0.0672850920674465,-7.178564291090725,y=2482*exp(-((x-0.209)^2)/(2*0.0619809^2)) for x<=0.209; y=2482*exp(-((x-0.209)^2)/(2*0.0672851^2)) for x>0.209
1.38,1080,0.171,3261.0,0.04453629971924182,0.07267364429313376,-10.895360375619717,y=3261*exp(-((x-0.171)^2)/(2*0.0445363^2)) for x<=0.171; y=3261*exp(-((x-0.171)^2)/(2*0.0726736^2)) for x>0.171
1.39,1081,0.164,3860.0,0.038871735302355645,0.07426611792447418,-12.938652141979276,y=3860*exp(-((x-0.164)^2)/(2*0.0388717^2)) for x<=0.164; y=3860*exp(-((x-0.164)^2)/(2*0.0742661^2)) for x>0.164
1.4,1082,0.246,3345.0,0.07052380565548788,0.04854334363055636,-10.12898576690969,y=3345*exp(-((x-0.246)^2)/(2*0.0705238^2)) for x<=0.246; y=3345*exp(-((x-0.246)^2)/(2*0.0485433^2)) for x>0.246
1.41,1083,0.259,3194.0,0.0732838452703967,0.044345219628457576,-9.175128208784745,y=3194*exp(-((x-0.259)^2)/(2*0.0732838^2)) for x<=0.259; y=3194*exp(-((x-0.259)^2)/(2*0.0443452^2)) for x>0.259
1.42,1084,0.177,2493.0,0.04714765546135222,0.07416781847097811,-7.001523645726614,y=2493*exp(-((x-0.177)^2)/(2*0.0471477^2)) for x<=0.177; y=2493*exp(-((x-0.177)^2)/(2*0.0741678^2)) for x>0.177
1.43,1085,0.17,4001.0,0.04198625970635935,0.07009883307128388,-12.262674575242416,y=4001*exp(-((x-0.17)^2)/(2*0.0419863^2)) for x<=0.17; y=4001*exp(-((x-0.17)^2)/(2*0.0700988^2)) for x>0.17
1.44,1086,0.179,3719.0,0.04505992100817165,0.06999340806530045,-9.79043122846432,y=3719*exp(-((x-0.179)^2)/(2*0.0450599^2)) for x<=0.179; y=3719*exp(-((x-0.179)^2)/(2*0.0699934^2)) for x>0.179
1.45,1087,0.189,3285.5,0.050006848274299937,0.0676909731262734,-10.398880871873024,y=3285.5*exp(-((x-0.189)^2)/(2*0.0500068^2)) for x<=0.189; y=3285.5*exp(-((x-0.189)^2)/(2*0.067691^2)) for x>0.189
1.46,1088,0.236,4001.0,0.06446764060990753,0.0494336589187001,-11.753119911503854,y=4001*exp(-((x-0.236)^2)/(2*0.0644676^2)) for x<=0.236; y=4001*exp(-((x-0.236)^2)/(2*0.0494337^2)) for x>0.236
