evo rate,enviormentChangeRate,fitness
0.313,0.51,120.0
0.317,0.51,928.0
0.318,0.51,191.5
0.319,0.51,172.0
0.321,0.51,367.0
0.322,0.51,92.0
0.323,0.51,201.0
0.326,0.51,204.5
0.328,0.51,139.0
0.329,0.51,564.0
0.33,0.51,203.0
0.331,0.51,648.0
0.334,0.51,101.0
0.335,0.51,85.0
0.336,0.51,94.5
0.337,0.51,101.5
0.338,0.51,98.0
0.339,0.51,70.0
0.341,0.51,77.0
0.342,0.51,62.0
0.344,0.51,326.0
0.346,0.51,164.0
0.347,0.51,523.0
0.349,0.51,146.0
0.35,0.51,413.75
0.351,0.51,97.0
0.352,0.51,199.0
0.353,0.51,59.5
0.354,0.51,234.0
0.355,0.51,594.0
0.356,0.51,263.0
0.357,0.51,91.0
0.358,0.51,500.0
0.359,0.51,209.5
0.36,0.51,441.0
0.361,0.51,94.5
0.363,0.51,329.3333333333333
0.364,0.51,63.0
0.365,0.51,122.0
0.368,0.51,406.0
0.369,0.51,105.0
0.37,0.51,397.0
0.371,0.51,169.5
0.372,0.51,356.0
0.373,0.51,84.5
0.377,0.51,195.0
0.379,0.51,349.0
0.38,0.51,82.0
0.382,0.51,246.0
0.383,0.51,86.0
0.384,0.51,93.0
0.385,0.51,139.66666666666666
0.387,0.51,74.0
0.388,0.51,150.0
0.389,0.51,84.0
0.39,0.51,190.2
0.391,0.51,102.5
0.392,0.51,62.0
0.394,0.51,75.0
0.395,0.51,44.0
0.396,0.51,87.0
0.397,0.51,174.0
0.398,0.51,118.0
0.399,0.51,154.0
0.05,0.52,652.0
0.051,0.52,419.0
0.054,0.52,359.0
0.055,0.52,270.0
0.058,0.52,733.5
0.059,0.52,880.0
0.061,0.52,1848.0
0.062,0.52,807.0
0.065,0.52,74.0
0.066,0.52,668.0
0.071,0.52,960.0
0.072,0.52,1639.5
0.073,0.52,962.0
0.075,0.52,1009.0
0.079,0.52,923.0
0.083,0.52,196.0
0.085,0.52,2354.0
0.087,0.52,1922.0
0.091,0.52,408.0
0.092,0.52,608.0
0.093,0.52,1923.0
0.094,0.52,290.0
0.096,0.52,1124.5
0.097,0.52,307.6666666666667
0.098,0.52,585.5
0.099,0.52,1090.0
0.104,0.52,1035.0
0.105,0.52,70.0
0.106,0.52,960.0
0.107,0.52,317.0
0.111,0.52,206.0
0.113,0.52,138.0
0.116,0.52,1999.0
0.117,0.52,1922.0
0.118,0.52,88.0
0.119,0.52,606.0
0.12,0.52,239.5
0.121,0.52,533.0
0.122,0.52,150.0
0.124,0.52,237.5
0.125,0.52,387.5
0.127,0.52,61.0
0.128,0.52,204.0
0.129,0.52,481.75
0.13,0.52,525.0
0.132,0.52,1663.0
0.133,0.52,725.0
0.134,0.52,504.0
0.135,0.52,397.5
0.137,0.52,329.0
0.14,0.52,665.5
0.143,0.52,70.0
0.144,0.52,236.5
0.146,0.52,95.0
0.147,0.52,569.5
0.149,0.52,146.0
0.152,0.52,90.0
0.154,0.52,227.0
0.155,0.52,123.0
0.157,0.52,92.5
0.158,0.52,655.6666666666666
0.159,0.52,501.0
0.162,0.52,120.0
0.164,0.52,219.0
0.165,0.52,608.0
0.169,0.52,759.0
0.174,0.52,841.0
0.176,0.52,722.0
0.178,0.52,711.0
0.179,0.52,2334.5
0.18,0.52,906.5
0.182,0.52,122.0
0.184,0.52,82.0
0.186,0.52,916.5
0.187,0.52,604.6666666666666
0.188,0.52,452.0
0.189,0.52,55.0
0.19,0.52,494.5
0.192,0.52,144.0
0.194,0.52,2396.0
0.197,0.52,323.6666666666667
0.198,0.52,2359.0
0.199,0.52,82.5
0.201,0.52,527.5
0.202,0.52,54.0
0.203,0.52,1038.6666666666667
0.204,0.52,1830.0
0.206,0.52,864.0
0.209,0.52,399.0
